"('map', 0.9990769028663635, (1089.63818359375, 115.24949645996094, 194.82550048828125, 210.51129150390625))","('ball', 0.9813757538795471, (452.8301696777344, 642.9142456054688, 115.75939178466797, 122.72283172607422))","('dice', 0.9259483218193054, (445.39508056640625, 51.219749450683594, 61.44746398925781, 105.70333862304688))","('key', 0.836975634098053, (730.8099365234375, 50.17378234863281, 139.90118408203125, 60.2205924987793))","('face', 0.8215762376785278, (311.4293518066406, 270.025634765625, 82.86848449707031, 99.90702056884766))"
"('map', 0.9987003803253174, (1091.271484375, 123.11659240722656, 193.12066650390625, 211.2836151123047))","('ball', 0.9837800860404968, (453.9684753417969, 649.709228515625, 115.03569030761719, 120.43733215332031))","('dice', 0.9310511946678162, (446.4581604003906, 58.05562973022461, 62.90464401245117, 111.78134155273438))","('key', 0.8842649459838867, (732.4260864257812, 59.484519958496094, 128.28656005859375, 61.69384765625))","('face', 0.843339204788208, (311.62005615234375, 274.1123962402344, 82.24366760253906, 96.52930450439453))"
"('map', 0.9988929033279419, (1092.8804931640625, 127.9874496459961, 199.9331817626953, 217.61825561523438))","('ball', 0.9751014113426208, (454.0099792480469, 656.591064453125, 112.37860870361328, 116.19164276123047))","('dice', 0.9711252450942993, (447.0626220703125, 64.97525787353516, 60.141380310058594, 110.02146911621094))","('face', 0.9181525111198425, (314.1048583984375, 287.8299865722656, 89.4491958618164, 103.04695129394531))","('key', 0.8423682451248169, (732.604736328125, 65.98799896240234, 130.06838989257812, 60.76704025268555))"
"('map', 0.9994374513626099, (1095.131591796875, 134.5186767578125, 194.01856994628906, 220.6139373779297))","('dice', 0.9907032251358032, (447.69000244140625, 72.6856689453125, 62.080780029296875, 108.66006469726562))","('ball', 0.9718793034553528, (455.2435302734375, 659.3256225585938, 112.443359375, 113.77750396728516))","('face', 0.8647288084030151, (312.4212646484375, 293.4578552246094, 81.38478088378906, 106.46736907958984))","('key', 0.8114669919013977, (733.0902099609375, 73.37934112548828, 134.19720458984375, 64.08883666992188))"
"('map', 0.9996444582939148, (1095.786865234375, 142.90731811523438, 194.6353302001953, 221.09921264648438))","('dice', 0.9841148257255554, (449.01287841796875, 78.69684600830078, 61.92940139770508, 107.32860565185547))","('ball', 0.9647127985954285, (457.7046203613281, 668.0670166015625, 118.73259735107422, 108.76622772216797))","('face', 0.8514183759689331, (316.85693359375, 299.1005859375, 81.1467056274414, 97.21516418457031))","('key', 0.7021873593330383, (741.4932250976562, 85.14823913574219, 113.84876251220703, 49.05390167236328))"
"('map', 0.9992613196372986, (1098.42333984375, 151.2204132080078, 193.63999938964844, 216.3468780517578))","('ball', 0.9911148548126221, (457.3655700683594, 671.0247192382812, 117.15966796875, 106.81885528564453))","('dice', 0.9855200052261353, (451.92462158203125, 85.65514373779297, 67.19091033935547, 115.44233703613281))","('face', 0.889857828617096, (319.959228515625, 311.09228515625, 87.8476791381836, 98.54137420654297))","('key', 0.8259788155555725, (742.4472045898438, 91.4596176147461, 121.80819702148438, 63.079833984375))"
"('map', 0.9988508820533752, (1099.2900390625, 156.40359497070312, 194.49282836914062, 219.1644744873047))","('dice', 0.992430567741394, (454.3203430175781, 92.42719268798828, 65.9879150390625, 111.22328186035156))","('ball', 0.9921515583992004, (458.19622802734375, 673.9535522460938, 119.4412841796875, 97.1261978149414))","('key', 0.8407031893730164, (744.113037109375, 97.35969543457031, 123.27412414550781, 65.92979431152344))","('face', 0.8000251650810242, (319.88580322265625, 317.875, 82.4447021484375, 99.34152221679688))"
"('map', 0.9976989030838013, (1101.026123046875, 169.7066650390625, 201.45208740234375, 207.50074768066406))","('dice', 0.9949948191642761, (455.3242492675781, 99.2898178100586, 60.082679748535156, 107.34170532226562))","('ball', 0.9945926666259766, (458.06353759765625, 676.3207397460938, 116.93106842041016, 91.75749969482422))","('key', 0.8826252222061157, (745.824951171875, 104.11663818359375, 131.04052734375, 64.07319641113281))","('face', 0.8305584192276001, (320.97601318359375, 321.3916320800781, 83.70213317871094, 96.95738983154297))"
"('map', 0.999201238155365, (1101.4307861328125, 171.4226531982422, 197.31463623046875, 212.21414184570312))","('ball', 0.9900984764099121, (460.0049133300781, 679.3453979492188, 115.07080078125, 83.62842559814453))","('dice', 0.9857940673828125, (457.11431884765625, 105.5872573852539, 61.95964813232422, 105.3876724243164))","('key', 0.8573458194732666, (749.3116455078125, 113.33833312988281, 124.18791198730469, 61.81446075439453))","('face', 0.8283417820930481, (322.5293273925781, 325.2059326171875, 82.74718475341797, 95.58247375488281))"
"('map', 0.9995657801628113, (1105.1229248046875, 176.80418395996094, 197.07391357421875, 218.52334594726562))","('ball', 0.9911147356033325, (460.0320739746094, 680.8823852539062, 114.22846984863281, 75.6719741821289))","('dice', 0.9818286299705505, (458.9058837890625, 108.25887298583984, 64.08271789550781, 109.0587158203125))","('key', 0.9218233823776245, (751.1585693359375, 117.95610809326172, 112.79743194580078, 49.75648880004883))","('face', 0.8370325565338135, (322.5872802734375, 328.9868469238281, 84.39982604980469, 93.5262222290039))"
