"('map', 0.9949167966842651, (1190.04638671875, 309.14178466796875, 159.01194763183594, 188.28692626953125))","('dice', 0.9671942591667175, (652.868408203125, 218.9967041015625, 61.6578483581543, 114.57192993164062))","('face', 0.8533657789230347, (559.9031372070312, 453.0008239746094, 96.3993911743164, 131.08505249023438))","('key', 0.4893617033958435, (904.8510131835938, 254.28822326660156, 91.78206634521484, 51.90303039550781))"
"('map', 0.9935404062271118, (1189.8214111328125, 312.54010009765625, 160.533203125, 193.41197204589844))","('dice', 0.9868759512901306, (652.803466796875, 228.91207885742188, 67.7178955078125, 120.02638244628906))","('face', 0.9015282392501831, (555.2354125976562, 456.0948791503906, 94.17779541015625, 132.3068389892578))","('key', 0.6670794486999512, (903.0489501953125, 257.19366455078125, 89.95191955566406, 50.47837829589844))"
"('map', 0.99364173412323, (1189.2894287109375, 317.1603088378906, 161.75277709960938, 189.4859161376953))","('dice', 0.9863418936729431, (651.8914184570312, 232.83668518066406, 66.31090545654297, 118.45439910888672))","('key', 0.7883026003837585, (903.2554931640625, 258.3368835449219, 93.87835693359375, 51.46769714355469))","('face', 0.7177203297615051, (548.7322998046875, 459.2783508300781, 95.96497344970703, 122.005859375))"
"('dice', 0.9941897392272949, (651.6378784179688, 234.97068786621094, 64.33352661132812, 118.10786437988281))","('map', 0.9937396049499512, (1189.2894287109375, 318.9072265625, 162.34622192382812, 188.74717712402344))","('key', 0.839877724647522, (900.02978515625, 260.6573486328125, 94.165283203125, 52.131622314453125))","('face', 0.5610988140106201, (544.4757690429688, 460.2763366699219, 89.47103881835938, 126.0324935913086))"
"('map', 0.9923387765884399, (1189.8511962890625, 320.985107421875, 160.92559814453125, 186.54818725585938))","('dice', 0.9911437034606934, (651.3538818359375, 239.08242797851562, 62.56768798828125, 115.80931854248047))","('key', 0.8226027488708496, (901.4368896484375, 263.11505126953125, 90.3701400756836, 51.373538970947266))","('face', 0.4832989275455475, (529.0889892578125, 462.20611572265625, 96.9185562133789, 105.88412475585938))"
"('dice', 0.9907360672950745, (651.2265014648438, 239.8990936279297, 64.49078369140625, 115.82344818115234))","('map', 0.9906336665153503, (1188.867919921875, 321.79791259765625, 161.9503631591797, 187.0955352783203))","('key', 0.771052896976471, (901.4318237304688, 262.6559753417969, 88.31983947753906, 50.23863983154297))","('face', 0.5591287016868591, (524.9571533203125, 462.7671813964844, 96.67042541503906, 106.87103271484375))"
"('map', 0.9930724501609802, (1189.303466796875, 322.36773681640625, 161.0041961669922, 188.83935546875))","('dice', 0.9909815192222595, (651.5772094726562, 240.87989807128906, 65.4743881225586, 114.47407531738281))","('key', 0.7798303365707397, (901.5968017578125, 264.698974609375, 85.12318420410156, 50.15897750854492))","('face', 0.5897543430328369, (516.8672485351562, 463.05303955078125, 93.26256561279297, 110.5195083618164))"
"('dice', 0.9930875301361084, (651.9443359375, 241.267578125, 62.080780029296875, 117.69050598144531))","('map', 0.9915862083435059, (1189.630859375, 322.8213195800781, 159.94638061523438, 187.8278045654297))","('key', 0.7981834411621094, (902.703857421875, 264.9559326171875, 89.01253509521484, 50.339927673339844))","('face', 0.6714031100273132, (512.60302734375, 461.33453369140625, 89.62406921386719, 105.97464752197266))"
"('dice', 0.9923838376998901, (651.7772827148438, 241.97320556640625, 61.989906311035156, 116.90298461914062))","('map', 0.9911222457885742, (1189.3876953125, 323.47796630859375, 162.46517944335938, 186.82167053222656))","('face', 0.8494329452514648, (505.73602294921875, 462.20611572265625, 93.9710922241211, 106.77974700927734))","('key', 0.7350203990936279, (901.4214477539062, 265.2305603027344, 87.8628158569336, 51.17950439453125))"
"('map', 0.9870413541793823, (1189.416015625, 322.8213195800781, 161.0828399658203, 188.01132202148438))","('dice', 0.9869881272315979, (651.4480590820312, 242.62741088867188, 63.05841064453125, 115.83759307861328))","('face', 0.8973013758659363, (501.4642639160156, 461.53997802734375, 90.83563232421875, 104.57392120361328))","('key', 0.7891868948936462, (901.8151245117188, 265.6375427246094, 91.48005676269531, 50.66667175292969))"
