"('ball', 0.9968141913414001, (554.8526611328125, 632.3785400390625, 121.70416259765625, 130.6058807373047))","('map', 0.9861134886741638, (1171.2073974609375, 147.34365844726562, 178.69464111328125, 199.11355590820312))","('dice', 0.9851788282394409, (551.1171875, 53.076087951660156, 64.52228546142578, 100.88129425048828))","('key', 0.9334331750869751, (840.618408203125, 68.47920989990234, 124.21822357177734, 63.74553680419922))","('face', 0.8192117810249329, (424.9043273925781, 256.5648498535156, 96.10565185546875, 116.0782241821289))"
"('ball', 0.997738778591156, (555.0001220703125, 632.9779052734375, 124.05911254882812, 131.8231964111328))","('map', 0.9877238273620605, (1171.3687744140625, 147.4345245361328, 180.66867065429688, 197.90194702148438))","('dice', 0.9836474061012268, (550.974853515625, 53.330902099609375, 62.62881851196289, 102.4261703491211))","('face', 0.8943239450454712, (425.44940185546875, 257.7943420410156, 97.07247924804688, 115.16083526611328))","('key', 0.8419286012649536, (840.2554321289062, 69.94451141357422, 122.20286560058594, 63.40406799316406))"
"('ball', 0.9975171089172363, (554.7296752929688, 633.72021484375, 122.21031951904297, 131.02105712890625))","('map', 0.990111768245697, (1172.093017578125, 149.5302276611328, 179.48165893554688, 194.548583984375))","('dice', 0.9870895743370056, (551.7028198242188, 57.12504959106445, 65.57036590576172, 108.43479919433594))","('key', 0.8887515068054199, (840.083740234375, 71.6598129272461, 122.51654052734375, 64.92350006103516))","('face', 0.883449375629425, (425.1221008300781, 257.6506042480469, 95.76603698730469, 118.35321044921875))"
"('ball', 0.9960994124412537, (555.3904418945312, 634.0975952148438, 122.84600067138672, 127.82981872558594))","('map', 0.9936429858207703, (1171.6676025390625, 150.32003784179688, 178.73828125, 196.2180938720703))","('dice', 0.9899038076400757, (551.9171142578125, 57.39070129394531, 65.41047668457031, 109.0587158203125))","('key', 0.857399046421051, (839.9478759765625, 72.44207000732422, 122.322265625, 64.90765380859375))","('face', 0.8513035178184509, (425.2888488769531, 258.109375, 97.48809814453125, 107.39413452148438))"
"('dice', 0.9949256181716919, (551.8056030273438, 57.95827865600586, 68.3156967163086, 109.27192687988281))","('ball', 0.9925084114074707, (555.2451171875, 634.6998901367188, 119.27008056640625, 127.86104583740234))","('map', 0.9902620911598206, (1171.6329345703125, 151.6321563720703, 181.42007446289062, 194.9765167236328))","('key', 0.8994206190109253, (839.8766479492188, 73.79051971435547, 124.33959197998047, 65.44867706298828))","('face', 0.8552704453468323, (424.267333984375, 259.3106384277344, 99.07168579101562, 108.50100708007812))"
"('dice', 0.9965797662734985, (551.6399536132812, 59.852088928222656, 67.94974517822266, 110.1827392578125))","('ball', 0.9908370971679688, (555.2741088867188, 640.773681640625, 118.23722839355469, 123.53446960449219))","('map', 0.9838004112243652, (1170.9517822265625, 152.94094848632812, 182.21908569335938, 198.3372802734375))","('face', 0.7898064255714417, (424.48248291015625, 261.5846252441406, 101.80561828613281, 106.4803695678711))","('key', 0.7637457847595215, (840.3228149414062, 75.02478790283203, 126.15127563476562, 64.22981262207031))"
"('dice', 0.9958115816116333, (551.9732055664062, 62.89106369018555, 68.34906005859375, 107.60408782958984))","('ball', 0.9956506490707397, (556.3273315429688, 643.912353515625, 118.03533935546875, 122.423583984375))","('map', 0.9874310493469238, (1171.4927978515625, 154.07440185546875, 184.27703857421875, 195.40541076660156))","('key', 0.8267806172370911, (839.4107666015625, 77.7199478149414, 127.81761932373047, 62.97211837768555))","('face', 0.7792310118675232, (425.73016357421875, 265.2314758300781, 103.88961791992188, 110.47904205322266))"
"('dice', 0.9955365061759949, (552.9950561523438, 64.9630126953125, 67.32227325439453, 107.55155944824219))","('ball', 0.9948393106460571, (557.3936767578125, 649.5573120117188, 113.41218566894531, 122.423583984375))","('map', 0.9912561178207397, (1172.142822265625, 154.62759399414062, 185.45046997070312, 198.7735595703125))","('face', 0.8168028593063354, (427.2177429199219, 266.3281555175781, 105.86109161376953, 110.54649353027344))","('key', 0.7311174273490906, (839.51904296875, 79.35738372802734, 126.31307983398438, 63.916954040527344))"
"('dice', 0.9967834949493408, (552.5714721679688, 68.3701400756836, 62.659400939941406, 104.03280639648438))","('ball', 0.9933831691741943, (558.8262329101562, 651.3628540039062, 116.85972595214844, 123.50431060791016))","('map', 0.9883609414100647, (1171.890869140625, 157.46812438964844, 185.7223358154297, 200.03932189941406))","('key', 0.8724687099456787, (842.041015625, 85.44837188720703, 118.01731872558594, 62.75724792480469))","('face', 0.7971372008323669, (426.4041748046875, 268.5835876464844, 101.68762969970703, 107.02769470214844))"
"('ball', 0.9954427480697632, (558.5534057617188, 651.6724853515625, 116.297607421875, 120.76121520996094))","('dice', 0.9937022924423218, (554.2681274414062, 72.10427856445312, 61.83875274658203, 101.22052001953125))","('map', 0.9884411096572876, (1173.56298828125, 157.7224884033203, 183.468994140625, 200.28363037109375))","('key', 0.9462023973464966, (841.5955200195312, 86.58013153076172, 110.10382080078125, 50.06415939331055))","('face', 0.7356653809547424, (429.2212219238281, 268.8681640625, 105.36474609375, 105.88412475585938))"
