"('face', 0.9635714292526245, (1108.208251953125, 88.42999267578125, 88.63399505615234, 99.19005584716797))","('dice', 0.9516684412956238, (675.0618896484375, 58.83921813964844, 88.90489196777344, 138.31826782226562))","('face', 0.7844582796096802, (25.69563865661621, 353.3177490234375, 51.14111328125, 174.50949096679688))"
"('dice', 0.9387845396995544, (676.1254272460938, 59.01414489746094, 90.75804901123047, 140.29080200195312))","('face', 0.92586749792099, (1108.864013671875, 89.26763153076172, 90.68053436279297, 99.22032928466797))","('face', 0.7818341851234436, (25.76760482788086, 353.3028869628906, 50.6193962097168, 172.89801025390625))"
"('dice', 0.9447749257087708, (675.8322143554688, 59.75058364868164, 92.52549743652344, 141.7367401123047))","('face', 0.932817280292511, (1109.7301025390625, 92.19280242919922, 93.3650894165039, 92.73540496826172))","('face', 0.7818428874015808, (25.63190269470215, 353.9354553222656, 52.048030853271484, 170.71688842773438))"
"('face', 0.9568954110145569, (1109.61962890625, 91.88207244873047, 91.49220275878906, 97.247802734375))","('dice', 0.9537757039070129, (676.3495483398438, 59.696983337402344, 93.37648010253906, 140.77113342285156))","('face', 0.7948799133300781, (25.482633590698242, 353.84246826171875, 50.941734313964844, 177.1710968017578))"
"('face', 0.9654473662376404, (1111.6370849609375, 93.9354476928711, 89.58031463623047, 97.88199615478516))","('dice', 0.9577351808547974, (676.8628540039062, 60.39634704589844, 94.21229553222656, 141.7021484375))","('face', 0.7948911190032959, (25.781097412109375, 354.1635437011719, 51.74394989013672, 176.39422607421875))"
"('face', 0.9579514265060425, (1113.95556640625, 94.14239501953125, 89.30735778808594, 97.91485595703125))","('dice', 0.9537634253501892, (678.194580078125, 60.16031265258789, 94.44258880615234, 142.22201538085938))","('face', 0.7949126958847046, (26.224382400512695, 353.667724609375, 51.26612091064453, 179.259521484375))"
"('face', 0.9479424357414246, (1118.6021728515625, 92.10938262939453, 89.46011352539062, 95.27377319335938))","('dice', 0.9396464824676514, (680.1728515625, 60.004150390625, 95.06718444824219, 141.39112854003906))","('face', 0.8590861558914185, (26.447145462036133, 354.28851318359375, 53.70021057128906, 172.47640991210938))"
"('face', 0.9524808526039124, (1120.02099609375, 90.32443237304688, 91.59278106689453, 93.19123840332031))","('dice', 0.9215753078460693, (681.5411987304688, 60.148746490478516, 90.87998962402344, 140.29080200195312))","('face', 0.8305201530456543, (27.01530647277832, 369.9830017089844, 52.76450729370117, 182.7951202392578))"
"('face', 0.9421117901802063, (1120.864990234375, 89.03152465820312, 94.3043441772461, 89.70104217529297))","('dice', 0.9145421981811523, (681.6483154296875, 59.85940933227539, 90.50358581542969, 140.80551147460938))","('face', 0.8665083646774292, (26.890243530273438, 370.0454406738281, 52.1497802734375, 187.03863525390625))"
"('face', 0.9418173432350159, (1121.22119140625, 88.83313751220703, 94.45411682128906, 88.86727905273438))","('dice', 0.9291366338729858, (681.2256469726562, 59.779388427734375, 90.8578109741211, 141.598388671875))","('face', 0.8769794702529907, (27.389720916748047, 371.5686340332031, 52.63584518432617, 191.94215393066406))"
